"","pawsid","slackDomain","filename","timestamp","exercise","task","totalscore","chunk"
"550","mnarci1","isds1102s3","mnarci1_e1b_1536182153717.xlsx","2018-09-05 21:05:17","e1","b","100.0","e1b"
"551","mnarci1","isds1102s3","mnarci1_e1b_1536182220211.xlsx","2018-09-05 21:06:24","e1","b","100.0","e1b"
"552","mnarci1","isds1102s3","mnarci1_e1c_1536600111819.xlsx","2018-09-10 17:11:01","e1","c","80.0","e1c"
"553","tlebl47","isds1102s3","tlebl47_e1a_1536246357862.xlsx","2018-09-06 14:55:21","e1","a","100.0","e1a"
"554","tlebl47","isds1102s3","tlebl47_e1a_1536517203860.xlsx","2018-09-09 18:09:17","e1","a","100.0","e1a"
"555","tlebl47","isds1102s3","tlebl47_e1b_1536517669433.xlsx","2018-09-09 18:17:01","e1","b","100.0","e1b"
"556","tlebl47","isds1102s3","tlebl47_e1c_1536554440417.xlsx","2018-09-10 04:29:51","e1","c","81.6666666667","e1c"
"557","tlebl47","isds1102s3","tlebl47_e1d_1536555207199.xlsx","2018-09-10 04:42:37","e1","d","100.0","e1d"
"558","jbens14","isds1102s3","jbens14_e1a_1536182710785.xlsx","2018-09-05 21:14:34","e1","a","93.75","e1a"
"559","jbens14","isds1102s3","jbens14_e1a_1536183011444.xlsx","2018-09-05 21:19:35","e1","a","100.0","e1a"
"560","jbens14","isds1102s3","jbens14_e1b_1536555523361.xlsx","2018-09-10 04:47:53","e1","b","100.0","e1b"
"561","tjon212","isds1102s3",NA,NA,NA,NA,NA,"NANA"
"562","ather27","isds1102s3","ather27_e1a_1536186206248.xlsx","2018-09-05 22:12:50","e1","a","87.5","e1a"
"563","ather27","isds1102s3","ather27_e1b_1536340589600.xlsx","2018-09-07 17:05:47","e1","b","75.0","e1b"
"564","crobbi6","isds1102s3",NA,NA,NA,NA,NA,"NANA"
"565","jkings8","isds1102s3",NA,NA,NA,NA,NA,"NANA"
"566","hchilm1","isds1102s3","hchilm1_e1a_1536182955973.xlsx","2018-09-05 21:18:39","e1","a","93.75","e1a"
"567","hchilm1","isds1102s3","hchilm1_e1a_1536183058466.xlsx","2018-09-05 21:20:22","e1","a","93.75","e1a"
"568","sholl19","isds1102s3","sholl19_e1a_1536182334511.xlsx","2018-09-05 21:08:18","e1","a","91.0","e1a"
"569","sholl19","isds1102s3","sholl19_e1c_1536198382981.xlsx","2018-09-06 01:35:47","e1","c","75.0","e1c"
"570","sholl19","isds1102s3","sholl19_e1d_1536199609203.xlsx","2018-09-06 01:56:12","e1","d","100.0","e1d"
"571","sholl19","isds1102s3","sholl19_e1b_1536199995376.xlsx","2018-09-06 02:02:38","e1","b","93.75","e1b"
"572","jgeor32","isds1102s3","jgeor32_e1b_1536183115040.xlsx","2018-09-05 21:21:18","e1","b","100.0","e1b"
"573","jgeor32","isds1102s3","jgeor32_e1b_1536535599126.xlsx","2018-09-09 23:15:50","e1","b","100.0","e1b"
"574","wdaley1","isds1102s3","wdaley1_e1a_1536183116533.xlsx","2018-09-05 21:21:20","e1","a","84.75","e1a"
"575","wdaley1","isds1102s3","wdaley1_e1b_1536185311396.xlsx","2018-09-05 21:57:55","e1","b","75.0","e1b"
"576","wdaley1","isds1102s3","wdaley1_e1d_1536608993043.xlsx","2018-09-10 19:39:02","e1","d","100.0","e1d"
"577","wdaley1","isds1102s3","wdaley1_e1c_1536609099740.xlsx","2018-09-10 19:40:48","e1","c","0.0","e1c"
"578","ztayl12","isds1102s3",NA,NA,NA,NA,NA,"NANA"
"579","cbococ2","isds1102s3","cbococ2_e1a_1536182472981.xlsx","2018-09-05 21:10:36","e1","a","94.5","e1a"
"580","cbococ2","isds1102s3","cbococ2_e1a_1536182662569.xlsx","2018-09-05 21:13:47","e1","a","94.5","e1a"
"581","cbococ2","isds1102s3","cbococ2_e1a_1536183017087.xlsx","2018-09-05 21:19:40","e1","a","100.0","e1a"
"582","tscard2","isds1102s3",NA,NA,NA,NA,NA,"NANA"
"583","clavin4","isds1102s3",NA,NA,NA,NA,NA,"NANA"
"584","gschul4","isds1102s3",NA,NA,NA,NA,NA,"NANA"
"585","kcham27","isds1102s3","kcham27_e1a_1536184396514.xlsx","2018-09-05 21:42:40","e1","a","93.75","e1a"
"586","kbeckm2","isds1102s3","kbeckm2_e1a_1536182944447.xlsx","2018-09-05 21:18:28","e1","a","93.75","e1a"
"587","kbeckm2","isds1102s3","kbeckm2_e1a_1536205438128.xlsx","2018-09-06 03:33:21","e1","a","93.75","e1a"
"588","kbeckm2","isds1102s3","kbeckm2_e1c_1536210718431.xlsx","2018-09-06 05:01:21","e1","c","96.6666666667","e1c"
"589","kbeckm2","isds1102s3","kbeckm2_e1c_1536210857883.xlsx","2018-09-06 05:03:40","e1","c","100.0","e1c"
"590","kbeckm2","isds1102s3","kbeckm2_e1b_1536300048465.xlsx","2018-09-07 05:50:08","e1","b","100.0","e1b"
"591","kbeckm2","isds1102s3","kbeckm2_e1d_1536300081217.xlsx","2018-09-07 05:50:40","e1","d","100.0","e1d"
"592","toffle1","isds1102s3","toffle1_e1b_1536592031893.xlsx","2018-09-10 14:56:20","e1","b","87.5","e1b"
"593","toffle1","isds1102s3","toffle1_e1a_1536592052179.xlsx","2018-09-10 14:56:40","e1","a","87.5","e1a"
"594","ppratt1","isds1102s4",NA,NA,NA,NA,NA,"NANA"
"595","cweint1","isds1102s4",NA,NA,NA,NA,NA,"NANA"
"596","nbergs1","isds1102s4","nbergs1_e1a_1536562588424.xlsx","2018-09-10 06:45:40","e1","a","68.75","e1a"
"597","mdanfo2","isds1102s4",NA,NA,NA,NA,NA,"NANA"
"598","ecaill3","isds1102s4","ecaill3_e1a_1536553158758.xlsx","2018-09-10 04:08:29","e1","a","100.0","e1a"
"599","ecaill3","isds1102s4","ecaill3_e1a_1536553944132.xlsx","2018-09-10 04:21:37","e1","a","90.5","e1a"
"600","ecaill3","isds1102s4","ecaill3_e1b_1536554052537.xlsx","2018-09-10 04:23:22","e1","b","84.25","e1b"
"601","jraba15","isds1102s4","jraba15_e1a_1536189015579.xlsx","2018-09-05 22:59:39","e1","a","87.5","e1a"
"602","jraba15","isds1102s4","jraba15_e1a_1536189035535.xlsx","2018-09-05 22:59:59","e1","a","87.5","e1a"
"603","lkinca1","isds1102s4","lkinca1_e1a_1536188527722.xlsx","2018-09-05 22:51:32","e1","a","98.25","e1a"
"604","jpulei1","isds1102s4",NA,NA,NA,NA,NA,"NANA"
"605","mmoshe3","isds1102s4","mmoshe3_e1a_1536187769843.xlsx","2018-09-05 22:38:55","e1","a","100.0","e1a"
"606","jharne6","isds1102s4","jharne6_e1a_1536188460308.xlsx","2018-09-05 22:50:24","e1","a","96.5","e1a"
"607","jharne6","isds1102s4","jharne6_e1b_1536546821111.xlsx","2018-09-10 02:22:51","e1","b","87.5","e1b"
"608","jharne6","isds1102s4","jharne6_e1b_1536546898157.xlsx","2018-09-10 02:24:09","e1","b","87.5","e1b"
"609","jharne6","isds1102s4","jharne6_e1b_1536546959382.xlsx","2018-09-10 02:25:09","e1","b","87.5","e1b"
"610","jdaly6","isds1102s4",NA,NA,NA,NA,NA,"NANA"
"611","scheva2","isds1102s4",NA,NA,NA,NA,NA,"NANA"
"612","hwilk13","isds1102s4","hwilk13_e1a_1536188510927.xlsx","2018-09-05 22:51:14","e1","a","81.25","e1a"
"613","hwilk13","isds1102s4","hwilk13_e1b_1536188594252.xlsx","2018-09-05 22:52:37","e1","b","62.5","e1b"
"614","hwilk13","isds1102s4","hwilk13_e1c_1536612654695.xlsx","2018-09-10 20:40:04","e1","c","36.6666666667","e1c"
"615","hwilk13","isds1102s4","hwilk13_e1d_1536613531158.xlsx","2018-09-10 20:54:39","e1","d","0.0","e1d"
"616","bsimm21","isds1102s4","bsimm21_e1a_1536269358468.xlsx","2018-09-06 21:18:39","e1","a","97.25","e1a"
"617","bsimm21","isds1102s4","bsimm21_e1b_1536270547253.xlsx","2018-09-06 21:38:28","e1","b","100.0","e1b"
"618","oferna2","isds1102s4",NA,NA,NA,NA,NA,"NANA"
"619","jhanzo2","isds1102s4","jhanzo2_e1a_1536202282858.xlsx","2018-09-06 02:40:47","e1","a","87.5","e1a"
